Matchcode,Resistance,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Cases (HCW),Transmission,Molecular Evidence,Comments
Klebsiella-2010-Vra-2835,KP,2007.00,365.00,"Pula, Croatia",44.87,13.84,162,,equip,yes,"tracheal aspirates, intravascular catheters, intra-abdominal abscess aspirates"
Klebsiella-2009-Lan-2570,KP,2007.25,153.00,"NJ, USA",40.06,-74.41,9,,HCW,no,
Klebsiella-2010-Kon-2894,KP,2008.08,150.00,"Thessaloniki, Greece",40.64,22.94,7,,unk,no,
Klebsiella-2010-Rui-2910,KP,2008.17,92.00,"Logro–o, Spain",42.47,-2.45,10,,unk,no,
Klebsiella-2011-Cal-3045,KP,2008.17,306.00,"Barcelona, Spain",41.39,2.17,156,,food,yes,food
Klebsiella-2010-Zuc-2890,KP,2008.67,153.00,"Haifa, Isreal",32.83,34.97,15,,unk,no,
Klebsiella-2010-Aum-2869,KP,2008.92,243.00,"Clermont-Ferrand, France",45.78,3.09,16,,equip,yes,liquid detergent
Klebsiella-2010-Kas-2873,KP,2009.50,92.00,"Paris, France",48.86,2.35,4,,unk,no,
Klebsiella-2010-Mau-2932,KO,2006.75,243.00,"Thessalon’ki, Greece",,,28,,unk,no,
Klebsiella-2008-Z‡r-2954,MDRKO,2005.16,184.00,"Buenos Aires, Argentina",,,7,,unk,no,
Klebsiella-2004-Sar-1608,KO,2003.08,28.00,"Ankara, Turkey",,,3,,equip,no,
Klebsiella-2004-Dec-1561,KO,2001.25,91.00,"Paris, France",,,56,,unk,no,
Klebsiella-2003-Aya-1570,KO,2000.33,61.00,"Malatya, Turkey",,,10,,equip,yes,series of 3 outbreaks; results: tracheal aspirates
Klebsiella-2003-Aya-2858,CRKO,2000.33,28.00,"Malatya, Turkey",,,10,,equip,yes,
Klebsiella-2001-Ber-318,MDRKO,1996.92,274.00,"Saint-Etienne, France",,,53,,HCW,no,
Klebsiella-2001-Jeo-867,MDRKO,1997.83,61.00,"Pusan, Korea",,,6,,equip,yes,abstract: water reservoirs of humidifiers
Klebsiella-2000-Rei-931,KO,1996.75,912.00,"Gie§en, Germany",,,28,,equip,yes,database: contaminated disinfectant solution
Klebsiella-1997-Wor-2200,MDRKO,1992.75,426.00,"Addis Ababa, Ethiopia",,,203,,equip,yes,database: contaminated intravenous fluids
Klebsiella-1995-Ven-2201,ESBL,,210.00,"New York, USA",,,63,,HCW,no,
Klebsiella-1992-Ran-930,PRKO,1985.92,396.00,"Stockholm, Sweden",,,7,,HCW,no,
Klebsiella-1987-Kid-407,KA,1985.25,123.00,"Coventry, UK",,,4,,equip,yes,abstract: contamination of food blender for preparing milk-based drinks in the ward
Klebsiella-1978-Eid-636,Klebsiella spp.,1976.83,151.00,"Coventry, UK",,,5,,unk,no,
Klebsiella-1978-Cur-862,KA,1976.08,454.00,"Bristol, UK",,,241,1,HCW,no,
Klebsiella-1978-Joy-408,KA,1977.75,31.00,,,,6,,equip,yes,database: contaminated hand washing bowls
